FieldPath,Type,AllowedValues,Unit,Min,Max,Required,Notes
taste_ingredients_preferences.ingredient_must_exclude,array,,,,,no,
taste_ingredients_preferences.sweeteners_allowed,array,,,,,no,
taste_ingredients_preferences.fat_sources_preferred,array,,,,,no,
meal_logistics_household,object,,,,,no,
meal_logistics_household.meals_per_day,integer,,,1,6,no,
meal_logistics_household.meal_timing_windows,array,,,,,no,
meal_logistics_household.meal_timing_windows[].start,string,,,,,no,
meal_logistics_household.meal_timing_windows[].end,string,,,,,no,
meal_logistics_household.fasting_window,object,,,,,no,
meal_logistics_household.fasting_window.start,string,,,,,no,
meal_logistics_household.fasting_window.end,string,,,,,no,
meal_logistics_household.fasting_window.days_per_week,integer,,,0,7,no,
meal_logistics_household.snack_policy,object,,,,,no,
meal_logistics_household.snack_policy.allowed,boolean,,,,,no,
meal_logistics_household.snack_policy.max_per_day,integer,,,0,10,no,
meal_logistics_household.household_size,integer,,,1,20,no,
meal_logistics_household.portions,object,,,,,no,
meal_logistics_household.portions.adult,integer,,,0,20,no,
meal_logistics_household.portions.child,integer,,,0,20,no,
meal_logistics_household.portions.toddler,integer,,,0,20,no,
meal_logistics_household.leftovers_policy,object,,,,,no,
meal_logistics_household.leftovers_policy.allow_leftovers,boolean,,,,,no,
meal_logistics_household.leftovers_policy.reuse_days,integer,,,0,7,no,
meal_logistics_household.meal_prep_time,string,5_10|10_20|20_40|40_60|over_60,,,,no,
meal_logistics_household.cooking_skill,string,beginner|intermediate|advanced,,,,no,
meal_logistics_household.equipment_available,array,,,,,no,
meal_logistics_household.storage_capacity,object,,,,,no,
meal_logistics_household.storage_capacity.fridge,string,small|medium|large,,,,no,
meal_logistics_household.storage_capacity.freezer,boolean,,,,,no,
meal_logistics_household.storage_capacity.pantry,string,small|medium|large,,,,no,
budget_stores_inventory,object,,,,,no,
budget_stores_inventory.budget_usd_per_day,number,,,0,,no,
budget_stores_inventory.budget_usd_per_week,number,,,0,,no,
budget_stores_inventory.cost_preference,string,value_focused|balanced|premium_organic,,,,no,
budget_stores_inventory.primary_store,string,costco|bjs|sams_club|walmart|whole_foods|amazon_fresh|trader_joes|target|kroger|safeway|harris_teeter|publix|heb,,,,no,
budget_stores_inventory.delivery_services,array,,,,,no,
budget_stores_inventory.store_location,string,,,,,no,
budget_stores_inventory.inventory_sources_enabled,array,,,,,no,
budget_stores_inventory.pantry_inventory,array,,,,,no,
budget_stores_inventory.pantry_inventory[].name,string,,,,,no,
budget_stores_inventory.pantry_inventory[].quantity,number,,,0,,no,
budget_stores_inventory.pantry_inventory[].unit,string,,,,,no,
budget_stores_inventory.pantry_inventory[].expiration_date,string,,,,,no,format: date
budget_stores_inventory.pantry_inventory[].lot,string,,,,,no,
budget_stores_inventory.fridge_inventory,array,,,,,no,
budget_stores_inventory.fridge_inventory[].name,string,,,,,no,
budget_stores_inventory.fridge_inventory[].quantity,number,,,0,,no,
budget_stores_inventory.fridge_inventory[].unit,string,,,,,no,
budget_stores_inventory.fridge_inventory[].expiration_date,string,,,,,no,format: date
budget_stores_inventory.fridge_inventory[].lot,string,,,,,no,
budget_stores_inventory.freezer_inventory,array,,,,,no,
budget_stores_inventory.freezer_inventory[].name,string,,,,,no,
budget_stores_inventory.freezer_inventory[].quantity,number,,,0,,no,
budget_stores_inventory.freezer_inventory[].unit,string,,,,,no,
budget_stores_inventory.freezer_inventory[].expiration_date,string,,,,,no,format: date
budget_stores_inventory.freezer_inventory[].lot,string,,,,,no,
budget_stores_inventory.cross_contamination_sensitivity,string,none|avoid_shared_equipment|strict_segregation,,,,no,
budget_stores_inventory.packaging_preferences,array,,,,,no,
geo_season_sustainability,object,,,,,no,
geo_season_sustainability.country,string,,,,,no,
geo_season_sustainability.region_state,string,,,,,no,
geo_season_sustainability.city,string,,,,,no,
geo_season_sustainability.seasonality_priority,string,high|medium|low,,,,no,
geo_season_sustainability.sustainability_focus,string,high|medium|low,,,,no,
geo_season_sustainability.organic_preference,string,always|sometimes|never,,,,no,
geo_season_sustainability.local_sourcing_radius,number,,,0,1000,no,
fitness_physical_ability,object,,,,,no,
fitness_physical_ability.fitness_goals,array,,,,,no,
fitness_physical_ability.activity_baseline,string,sedentary|lightly_active|moderately_active|very_active|athlete,,,,no,
fitness_physical_ability.equipment,array,,,,,no,
fitness_physical_ability.modalities,array,,,,,no,
fitness_physical_ability.session_duration,string,10_20|20_30|30_45|45_60|60_90,,,,no,
fitness_physical_ability.sessions_per_week,integer,,,1,14,no,
fitness_physical_ability.schedule_constraints,array,,,,,no,
fitness_physical_ability.schedule_constraints[].day,string,,,,,no,
fitness_physical_ability.schedule_constraints[].time_range,string,,,,,no,
fitness_physical_ability.injuries_limitations,array,,,,,no,
fitness_physical_ability.contraindications,array,,,,,no,
fitness_physical_ability.readiness_markers,object,,,,,no,
fitness_physical_ability.readiness_markers.rpe_baseline,integer,,,1,10,no,
fitness_physical_ability.readiness_markers.hrv_available,boolean,,,,,no,
fitness_physical_ability.performance_baselines,object,,,,,no,
fitness_physical_ability.performance_baselines.vo2max,number,,,,,no,
fitness_physical_ability.performance_baselines.resting_hr_bpm,integer,,,20,220,no,
fitness_physical_ability.performance_baselines.est_1rm_squat,number,,,0,,no,
fitness_physical_ability.performance_baselines.est_1rm_bench,number,,,0,,no,
fitness_physical_ability.performance_baselines.est_1rm_deadlift,number,,,0,,no,
fitness_physical_ability.performance_baselines.est_1rm_press,number,,,0,,no,
fitness_physical_ability.performance_baselines.pace_1mi_mm_ss,string,,,,,no,
fitness_physical_ability.performance_baselines.pace_5k_mm_ss,string,,,,,no,
fitness_physical_ability.performance_baselines.pace_10k_mm_ss,string,,,,,no,
fitness_physical_ability.performance_baselines.mobility_notes,string,,,,,no,
sensors_integrations,object,,,,,no,
sensors_integrations.platforms,array,,,,,no,
sensors_integrations.data_streams,array,,,,,no,
sensors_integrations.sync_frequency,string,realtime|hourly|daily,,,,no,
food_safety_compliance,object,,,,,no,
food_safety_compliance.raw_undercooked_allowed,array,,,,,no,
food_safety_compliance.pasteurization_required,boolean,,,,,no,
food_safety_compliance.exclude_high_mercury_fish,boolean,,,,,no,
food_safety_compliance.recall_checks_enabled,boolean,,,,,no,
food_safety_compliance.expiration_tolerance_days,integer,,,0,7,no,
food_safety_compliance.max_fridge_days,object,,,,,no,
food_safety_compliance.max_fridge_days.poultry,integer,,,0,7,no,
food_safety_compliance.max_fridge_days.beef,integer,,,0,7,no,
food_safety_compliance.max_fridge_days.fish,integer,,,0,7,no,
food_safety_compliance.max_fridge_days.leftovers,integer,,,0,7,no,
food_safety_compliance.min_cook_temps_c,object,,,,,no,
food_safety_compliance.min_cook_temps_c.poultry,integer,,,50,100,no,
food_safety_compliance.min_cook_temps_c.ground_beef,integer,,,50,100,no,
food_safety_compliance.min_cook_temps_c.fish,integer,,,50,100,no,
labeling_sourcing_ethics,object,,,,,no,
labeling_sourcing_ethics.required_certifications,array,,,,,no,
labeling_sourcing_ethics.animal_welfare,array,,,,,no,
labeling_sourcing_ethics.fair_trade_priority,string,high|medium|low,,,,no,
personalization_content,object,,,,,no,
personalization_content.brand_voice,string,concise|coach_like|friendly|clinical,,,,no,
personalization_content.recipe_format,string,metric|imperial,,,,no,
personalization_content.step_detail,string,compact|detailed,,,,no,
personalization_content.substitution_policy,string,no_substitutions|allergen_safe_only|budget_driven|any_allowed,,,,no,
personalization_content.content_languages,array,,,,,no,
app_features_ecommerce,object,,,,,no,
app_features_ecommerce.auto_carting_enabled,boolean,,,,,no,
app_features_ecommerce.auto_reorder_staples,boolean,,,,,no,
app_features_ecommerce.auto_reorder_cadence,string,weekly|biweekly|monthly,,,,no,
app_features_ecommerce.loyalty_program_ids,array,,,,,no,
app_features_ecommerce.delivery_windows,array,,,,,no,
app_features_ecommerce.stripe_customer_id,string,,,,,no,
data_governance,object,,,,,no,
data_governance.logging_level,string,minimal|standard|verbose,,,,no,
data_governance.analytics_anonymized,boolean,,,,,no,
data_governance.model_personalization_consent,boolean,,,,,no,
data_governance.data_residency,string,us|eu,,,,no,
pantry_preference_memory,object,,,,,no,
pantry_preference_memory.favorite_recipe_ids,array,,,,,no,
pantry_preference_memory.disliked_recipe_ids,array,,,,,no,
pantry_preference_memory.disliked_reasons,array,,,,,no,
pantry_preference_memory.saved_meal_plan_ids,array,,,,,no,
pantry_preference_memory.cookbook_projects,array,,,,,no,
pantry_preference_memory.cookbook_projects[].title,string,,,,,no,
pantry_preference_memory.cookbook_projects[].scope,string,,,,,no,
pantry_preference_memory.cookbook_projects[].frozen_date,string,,,,,no,format: date
